Date,Close,Open,High,Low
10/04/22,233,231,233.5,231
10/03/22,230.99,230.4,233.13,230.2
09/30/22,231.1,231.75,232.3,229
09/29/22,229.5,231.81,232.75,229.02
09/28/22,232.25,231.51,248.66,231
09/27/22,232.01,234.4,234.4,229.2
09/26/22,233.8,230.99,234,230
09/23/22,229.91,234.5,234.5,229.25
09/22/22,233.9,233,235,229.1
09/21/22,233,233.9,234,230
09/20/22,233,233.4,233.99,231.5
09/19/22,233.21,231,237.7,229.49
09/16/22,229.42,229.95,234.49,225.3
09/15/22,226.5,231,231.9,226.01
09/14/22,230.58,232.45,232.95,230
09/13/22,233,231.75,233,230.7
09/12/22,230.98,231.9,231.9,230.5
09/09/22,231.02,232.75,232.96,230
09/08/22,231.2,232.48,232.55,230.8
09/07/22,231,232.1,234.49,230.82
09/06/22,232.99,234,235.99,232.1
09/05/22,234,238.99,238.99,232.75
09/02/22,238,239.85,239.97,237.5
09/01/22,238.26,240,240.15,238
08/31/22,238.74,242.39,242.39,237.06
08/30/22,239.5,243.6,246,238.81
08/29/22,243.5,240.25,243.5,238.75
08/26/22,243.5,248.39,248.39,240
08/25/22,245.5,249,249.25,244.5
08/24/22,258.65,256,260.99,254.75
08/23/22,255.9,252,256,252
08/22/22,250.99,252,253,250
08/19/22,251.71,253,253,251.21
08/18/22,252.2,255.79,255.79,251
08/17/22,253.5,254.9,260,253
08/16/22,252,249,254.1,248
08/15/22,248.25,243.05,249,243.05
08/12/22,243.01,242,245.99,240.7
08/11/22,240.95,244,245.5,240
08/10/22,242.05,239.01,246,239.01
08/05/22,238.1,238.99,240,236.13
08/04/22,237.74,239.84,241,236.8
08/03/22,238.25,236,238.95,236
08/02/22,236,230.05,238.47,228
08/01/22,232.9,235,238,232
07/29/22,234.62,236.9,237,234
07/28/22,236.99,239.98,242.7,235.7
07/27/22,238.9,242,243.5,235
07/26/22,241.84,246.9,246.9,240.25
07/25/22,242.99,245,245,241.5
07/22/22,245,245.99,246,241.05
07/21/22,243.75,244,244,241.05
07/20/22,243.8,244.9,245.99,243.01
07/19/22,242,253.9,254.95,240.51
07/18/22,251.9,255.89,256.8,251.03
07/15/22,256.73,257.5,258.89,254.6
07/14/22,258,253.5,258.25,253.5
07/13/22,253.4,253,253.4,250.21
07/07/22,251.8,253.94,253.94,251.5
07/06/22,252.5,255.79,257,252
07/05/22,253.3,253.02,255,253.02
07/04/22,253.82,256.01,257,252.9
07/01/22,255.99,256.04,258.5,255.51
06/30/22,259,255.76,259,254.75
06/29/22,255.88,258.75,258.75,255.01
06/28/22,257.01,257.15,259.25,257
06/27/22,257,254.95,258.05,254.95
06/24/22,254.5,263.9,264.34,247
06/23/22,263.55,263.01,265.5,263.01
06/22/22,263.39,265.49,265.95,262.25
06/21/22,264.49,263.35,264.93,262.75
06/20/22,264,265,266.4,262
06/17/22,264.27,261.94,265.25,260.75
06/16/22,261.5,261.7,261.99,260.76
06/15/22,261.77,261.9,262.24,261
06/14/22,261.55,260.56,263.2,258.9
06/13/22,260.98,262.05,263.83,260.51
06/10/22,264,261.05,264.11,261.01
06/09/22,261.1,263.1,263.57,261
06/08/22,260.52,263,263.97,260.1
06/07/22,262.01,264.7,264.95,262
06/06/22,262.6,260,264.99,260
06/03/22,262.13,264.2,264.2,261
06/02/22,264.3,267.2,269,263.13
06/01/22,267.5,268.08,270.31,266
05/31/22,268.32,268,269.8,264.01
05/30/22,266,269.89,269.89,263
05/27/22,265.22,270,271,264
05/26/22,267.5,262,267.5,262
05/25/22,262.3,266.49,267,258.5
05/24/22,264.5,265.5,267,263.03
05/23/22,264.21,269,269,264
05/20/22,267.59,270.39,270.39,265.75
05/19/22,268,266.66,270,266.41
05/18/22,266.5,268.5,270.15,266.4
05/17/22,268,268.98,268.98,266.11
05/16/22,267,272.4,272.4,266
05/13/22,270.01,269.98,270.99,267
05/12/22,268,272.46,272.46,266
05/11/22,270.99,273,273,267.11
05/10/22,273,272.49,273,270
05/09/22,269.99,275.01,276.4,268.82
05/06/22,275.48,278.85,278.85,272.25
04/28/22,278,278,279.63,273
04/27/22,278.3,278.11,282,278
04/26/22,290.25,289.99,296.5,289.51
04/25/22,290.1,286.04,291.89,283.01
04/22/22,284.7,287.2,288.94,284
04/21/22,287,294.99,297,285
04/20/22,294.05,296,298.4,294
04/19/22,295.99,291.9,297.84,290.5
04/18/22,289.98,290.35,294.5,288.55
04/15/22,292.1,288.6,295,288
04/14/22,287.45,280.5,289.99,279
04/13/22,279.9,279,281.65,278
04/12/22,279.95,279.62,280.05,277
04/11/22,279.45,276.1,281.45,276.1
04/08/22,271.5,270.01,273,270.01
04/07/22,270,274.49,277,269.5
04/06/22,271.5,266,272.8,265.05
